03-03-2024 01:09:37: General Functions  :- sp_TransactionsError : Incorrect syntax near the keyword 'between'. - 
03-03-2024 01:09:37: General Functions  :- sp_TransactionsError : Incorrect syntax near the keyword 'between'. - 
03-03-2024 01:09:37: General Functions  :- sp_TransactionsError : An expression of non-boolean type specified in a context where a condition is expected, near 'and'. - 
03-03-2024 01:09:37: General Functions  :- sp_TransactionsError : An expression of non-boolean type specified in a context where a condition is expected, near 'and'. - 
03-03-2024 01:09:38: General Functions  :- sp_TransactionsError : Incorrect syntax near the keyword 'between'. - 
03-03-2024 01:09:38: General Functions  :- sp_TransactionsError : Incorrect syntax near the keyword 'between'. - 
03-03-2024 01:09:38: General Functions  :- sp_TransactionsError : An expression of non-boolean type specified in a context where a condition is expected, near 'and'. - 
03-03-2024 01:09:39: General Functions  :- sp_TransactionsError : An expression of non-boolean type specified in a context where a condition is expected, near 'and'. - 
03-03-2024 01:09:43: General Functions  :- sp_TransactionsError : Incorrect syntax near the keyword 'between'. - 
03-03-2024 01:09:44: General Functions  :- sp_TransactionsError : An expression of non-boolean type specified in a context where a condition is expected, near 'and'. - 
03-03-2024 01:09:45: General Functions  :- sp_LeftNavigationError : Invalid object name 'tb_Language'. - 
03-03-2024 01:09:45: General Functions  :- sp_TransactionsError : Incorrect syntax near the keyword 'between'. - 
03-03-2024 01:09:46: General Functions  :- sp_TransactionsError : An expression of non-boolean type specified in a context where a condition is expected, near 'and'. - 
03-03-2024 01:09:46: General Functions  :- sp_TransactionsError : Incorrect syntax near the keyword 'between'. - 
03-03-2024 01:09:47: General Functions  :- sp_TransactionsError : An expression of non-boolean type specified in a context where a condition is expected, near 'and'. - 
03-03-2024 01:10:03: General Functions  :- sp_TransactionsError : Incorrect syntax near the keyword 'between'. - 
03-03-2024 01:11:19: General Functions  :- sp_TransactionsError : Incorrect syntax near the keyword 'between'. - 
03-03-2024 01:11:19: General Functions  :- sp_TransactionsError : An expression of non-boolean type specified in a context where a condition is expected, near 'and'. - 
03-03-2024 01:11:20: General Functions  :- sp_LeftNavigationError : Invalid object name 'tb_Language'. - 
03-03-2024 01:11:25: General Functions  :- sp_TransactionsError : Incorrect syntax near the keyword 'between'. - 
03-03-2024 01:16:29: General Functions  :- sp_TransactionsError : An expression of non-boolean type specified in a context where a condition is expected, near 'and'. - 
03-03-2024 01:16:32: General Functions  :- sp_TransactionsError : Incorrect syntax near ')'. - 
03-03-2024 01:16:32: General Functions  :- sp_TransactionsError : An expression of non-boolean type specified in a context where a condition is expected, near 'and'. - 
03-03-2024 01:16:42: General Functions  :- sp_TransactionsError : Incorrect syntax near ')'. - 
03-03-2024 01:18:21: General Functions  :- sp_TransactionsError : Incorrect syntax near ')'. - 
03-03-2024 01:20:05: General Functions  :- sp_TransactionsError : Incorrect syntax near ')'. - 
03-03-2024 01:20:05: General Functions  :- sp_TransactionsError : An expression of non-boolean type specified in a context where a condition is expected, near 'and'. - 
03-03-2024 01:20:07: General Functions  :- sp_LeftNavigationError : Invalid object name 'tb_Language'. - 
03-03-2024 01:20:12: General Functions  :- sp_TransactionsError : An expression of non-boolean type specified in a context where a condition is expected, near 'and'. - 
03-03-2024 01:20:13: General Functions  :- sp_TransactionsError : An expression of non-boolean type specified in a context where a condition is expected, near 'and'. - 
03-03-2024 01:20:13: General Functions  :- sp_TransactionsError : An expression of non-boolean type specified in a context where a condition is expected, near 'and'. - 
03-03-2024 01:20:14: General Functions  :- sp_TransactionsError : An expression of non-boolean type specified in a context where a condition is expected, near 'and'. - 
03-03-2024 01:20:20: General Functions  :- sp_TransactionsError : An expression of non-boolean type specified in a context where a condition is expected, near 'and'. - 
03-03-2024 01:20:21: General Functions  :- sp_TransactionsError : An expression of non-boolean type specified in a context where a condition is expected, near 'and'. - 
03-03-2024 01:20:21: General Functions  :- sp_LeftNavigationError : Invalid object name 'tb_Language'. - 
03-03-2024 01:20:22: General Functions  :- sp_TransactionsError : An expression of non-boolean type specified in a context where a condition is expected, near 'and'. - 
03-03-2024 01:20:23: General Functions  :- sp_TransactionsError : An expression of non-boolean type specified in a context where a condition is expected, near 'and'. - 
03-03-2024 01:20:23: General Functions  :- sp_TransactionsError : An expression of non-boolean type specified in a context where a condition is expected, near 'and'. - 
03-03-2024 01:20:24: General Functions  :- sp_TransactionsError : An expression of non-boolean type specified in a context where a condition is expected, near 'and'. - 
03-03-2024 01:21:32: General Functions  :- sp_TransactionsError : An expression of non-boolean type specified in a context where a condition is expected, near 'and'. - 
03-03-2024 01:21:33: General Functions  :- sp_TransactionsError : An expression of non-boolean type specified in a context where a condition is expected, near 'and'. - 
03-03-2024 01:21:33: General Functions  :- sp_LeftNavigationError : Invalid object name 'tb_Language'. - 
03-03-2024 01:21:36: General Functions  :- sp_TransactionsError : Incorrect syntax near 'A'. - 
03-03-2024 01:21:36: General Functions  :- sp_TransactionsError : An expression of non-boolean type specified in a context where a condition is expected, near 'and'. - 
03-03-2024 01:21:40: General Functions  :- sp_TransactionsError : Incorrect syntax near 'A'. - 
03-03-2024 01:21:41: General Functions  :- sp_TransactionsError : An expression of non-boolean type specified in a context where a condition is expected, near 'and'. - 
03-03-2024 01:21:42: General Functions  :- sp_TransactionsError : Incorrect syntax near 'A'. - 
03-03-2024 01:21:43: General Functions  :- sp_TransactionsError : An expression of non-boolean type specified in a context where a condition is expected, near 'and'. - 
03-03-2024 01:21:43: General Functions  :- sp_LeftNavigationError : Invalid object name 'tb_Language'. - 
03-03-2024 01:21:44: General Functions  :- sp_TransactionsError : Incorrect syntax near 'A'. - 
03-03-2024 01:21:44: General Functions  :- sp_TransactionsError : An expression of non-boolean type specified in a context where a condition is expected, near 'and'. - 
03-03-2024 01:21:45: General Functions  :- sp_TransactionsError : Incorrect syntax near 'A'. - 
03-03-2024 01:21:45: General Functions  :- sp_TransactionsError : An expression of non-boolean type specified in a context where a condition is expected, near 'and'. - 
03-03-2024 01:22:18: General Functions  :- sp_TransactionsError : An expression of non-boolean type specified in a context where a condition is expected, near 'and'. - 
03-03-2024 01:22:19: General Functions  :- sp_LeftNavigationError : Invalid object name 'tb_Language'. - 
03-03-2024 01:22:20: General Functions  :- sp_TransactionsError : An expression of non-boolean type specified in a context where a condition is expected, near 'and'. - 
03-03-2024 01:23:56: General Functions  :- sp_TransactionsError : An expression of non-boolean type specified in a context where a condition is expected, near 'and'. - 
03-03-2024 01:23:57: General Functions  :- sp_LeftNavigationError : Invalid object name 'tb_Language'. - 
03-03-2024 01:23:58: General Functions  :- sp_TransactionsError : An expression of non-boolean type specified in a context where a condition is expected, near 'and'. - 
03-03-2024 01:24:32: General Functions  :- sp_TransactionsError : An expression of non-boolean type specified in a context where a condition is expected, near 'and'. - 
03-03-2024 01:24:33: General Functions  :- sp_LeftNavigationError : Invalid object name 'tb_Language'. - 
03-03-2024 01:24:34: General Functions  :- sp_TransactionsError : An expression of non-boolean type specified in a context where a condition is expected, near 'and'. - 
03-03-2024 01:25:18: General Functions  :- sp_LeftNavigationError : Invalid object name 'tb_Language'. - 
03-03-2024 01:26:15: session  :- Error :  ------------------------- Starts pageload------------
03-03-2024 01:26:15: session  :- Error :  1 
03-03-2024 01:26:15: session  :- Error :  2 
03-03-2024 01:26:17: ListTracker.aspx ListData() :- Error : You should not call DataBind in NeedDataSource event handler. DataBind would take place automatically right after NeedDataSource handler finishes execution. - 
03-03-2024 01:26:18: General Functions  :- sp_LeftNavigationError : Invalid object name 'tb_Language'. - 
03-03-2024 01:26:22: General Functions  :- sp_LeftNavigationError : Invalid object name 'tb_Language'. - 
03-03-2024 01:35:44: General Functions  :- sp_LeftNavigationError : Invalid object name 'tb_Language'. - 
03-03-2024 01:36:24: General Functions  :- sp_LeftNavigationError : Invalid object name 'tb_Language'. - 
03-03-2024 01:36:35: General Functions  :- sp_LeftNavigationError : Invalid object name 'tb_Language'. - 
03-03-2024 01:37:13: TrackerLifeCycleAQ.aspx Save() :- Error : String was not recognized as a valid DateTime. - 
03-03-2024 01:37:28: General Functions  :- sp_LeftNavigationError : Invalid object name 'tb_Language'. - 
03-03-2024 01:38:09: General Functions  :- sp_LeftNavigationError : Invalid object name 'tb_Language'. - 
03-03-2024 01:38:42: General Functions  :- sp_LeftNavigationError : Invalid object name 'tb_Language'. - 
03-03-2024 01:40:17: General Functions  :- sp_LeftNavigationError : Invalid object name 'tb_Language'. - 
03-03-2024 01:43:16: General Functions  :- sp_LeftNavigationError : Invalid object name 'tb_Language'. - 
03-03-2024 01:46:20: General Functions  :- sp_LeftNavigationError : Invalid object name 'tb_Language'. - 
03-03-2024 01:47:09: General Functions  :- sp_LeftNavigationError : Invalid object name 'tb_Language'. - 
03-03-2024 01:47:28: General Functions  :- sp_LeftNavigationError : Invalid object name 'tb_Language'. - 
03-03-2024 01:48:22: General Functions  :- sp_LeftNavigationError : Invalid object name 'tb_Language'. - 
03-03-2024 01:49:11: General Functions  :- sp_LeftNavigationError : Invalid object name 'tb_Language'. - 
03-03-2024 01:49:48: General Functions  :- sp_LeftNavigationError : Invalid object name 'tb_Language'. - 
03-03-2024 01:51:10: General Functions  :- sp_LeftNavigationError : Invalid object name 'tb_Language'. - 
03-03-2024 01:51:49: General Functions  :- sp_LeftNavigationError : Invalid object name 'tb_Language'. - 
03-03-2024 01:56:24: General Functions  :- sp_LeftNavigationError : Invalid object name 'tb_Language'. - 
03-03-2024 01:57:00: General Functions  :- sp_LeftNavigationError : Invalid object name 'tb_Language'. - 
03-03-2024 01:57:18: General Functions  :- sp_LeftNavigationError : Invalid object name 'tb_Language'. - 
03-03-2024 01:57:35: General Functions  :- sp_LeftNavigationError : Invalid object name 'tb_Language'. - 
03-03-2024 01:57:57: General Functions  :- sp_LeftNavigationError : Invalid object name 'tb_Language'. - 
